 bVersion, uLen, bReserved1, wTimeTick, stGps.stDate.year, stGps.stDate.month, stGps.stDate.day, stGps.stDate.reserved, stGps.stTime.hour, stGps.stTime.min, stGps.stTime.sec, stGps.stTime.reserved, stGps.fLatitude, stGps.fLongitude, stGps.uCourse, Drive Meter, wSystemState, bLDState, bLDWarning, uVDState, uSDATTT, bPDState, Front car distance, uPDTTT, bTSRDetectSpeed, bTSRSignType, bOSWarning, bAAState, uAATime, bEvent, uDSMState, bDSMWarning, bTASWarning, bSubPDState, bParking, bCarSignal, bCamearaState, uCarRPM, bBrakePressure, wYawRate, bAcceleration, bSuddenAcc, uSpeed, sAccBaseX, sAccBaseY, sAccBaseZ, sAccInputX, sAccInputY, sAccInputZ, bSDcard, bCamearaState, ODO meter, SAS,
2,96,0,30768,20,10,12,0,23,59,58,0,3729.955811,12652.124023,8,0,0,3,0,1,32768,0,9,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,8,0,14,0,0,0,66,1012,115,0,1,0,0,
2,96,0,30777,20,10,12,0,23,59,59,0,3729.957031,12652.124023,6,0,0,3,0,0,32768,0,10,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,10,0,18,0,0,0,69,1020,7,0,1,0,0,
2,96,0,30788,20,10,13,0,0,0,0,0,3729.957520,12652.125000,16,0,0,3,0,0,32768,0,10,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,5,0,19,0,0,0,66,1020,-7,0,1,0,0,
2,96,0,30795,20,10,13,0,0,0,0,0,3729.957764,12652.125977,34,0,0,3,0,0,32768,0,10,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,1,0,19,0,0,0,74,1016,41,0,1,0,0,
2,96,0,30803,20,10,13,0,0,0,1,0,3729.958496,12652.125977,34,0,0,3,0,0,32768,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,20,0,0,0,73,1030,18,0,1,0,0,
2,96,0,30814,20,10,13,0,0,0,3,0,3729.960693,12652.126953,32,0,0,3,0,0,32768,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,22,0,0,0,73,1032,52,0,1,0,0,
2,96,0,30823,20,10,13,0,0,0,4,0,3729.962402,12652.127930,31,0,0,3,0,0,32768,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,3,0,24,0,0,0,90,1023,70,0,1,0,0,
2,96,0,30831,20,10,13,0,0,0,4,0,3729.967529,12652.127930,17,0,0,3,0,1,32768,0,11,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,4,0,25,0,0,0,82,1037,36,0,1,0,0,
2,96,0,30841,20,10,13,0,0,0,6,0,3729.972168,12652.127930,10,0,0,3,0,1,32768,0,11,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,3,0,27,0,0,0,60,1024,27,0,1,0,0,
2,96,0,30850,20,10,13,0,0,0,7,0,3729.976318,12652.126953,4,0,0,3,0,1,32768,0,12,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,28,0,0,0,70,1020,60,0,1,0,0,
2,96,0,30858,20,10,13,0,0,0,7,0,3729.984863,12652.124023,353,0,0,3,0,1,32768,0,14,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,3,0,30,0,0,0,81,1017,9,0,1,0,0,
2,96,0,30869,20,10,13,0,0,0,9,0,3729.984863,12652.124023,353,0,0,3,0,1,32768,0,15,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,30,0,0,0,80,1027,13,0,1,0,0,
2,96,0,30877,20,10,13,0,0,0,10,0,3730.001709,12652.120117,351,0,0,3,0,1,32768,0,16,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,0,76,1058,65,0,1,0,0,
2,96,0,30888,20,10,13,0,0,0,11,0,3730.007080,12652.117188,4,0,0,3,0,1,32768,0,16,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,1,0,31,0,0,0,77,1020,-15,0,1,0,0,
2,96,0,30897,20,10,13,0,0,0,12,0,3729.985107,12652.124023,4,0,0,3,0,1,32768,0,15,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,0,81,1014,-26,0,1,0,0,
2,96,0,30904,20,10,13,0,0,0,12,0,3729.987793,12652.125000,1,0,0,3,0,1,32768,0,16,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,253,0,28,0,0,0,15,987,31,0,1,0,0,
2,96,0,30912,20,10,13,0,0,0,13,0,3729.991943,12652.125977,11,0,0,3,0,1,32768,0,17,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,254,0,28,0,0,0,62,1019,66,0,1,0,0,
2,96,0,30923,20,10,13,0,0,0,15,0,3729.996094,12652.125977,17,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,1,0,29,0,0,0,54,1021,84,0,1,0,0,
2,96,0,30932,20,10,13,0,0,0,16,0,3730.000000,12652.126953,19,0,0,3,0,1,32768,0,19,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,30,0,0,0,58,1019,85,0,1,0,0,
2,96,0,30940,20,10,13,0,0,0,16,0,3730.008545,12652.148438,21,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,31,0,0,0,65,1050,46,0,1,0,0,
2,96,0,30949,20,10,13,0,0,0,17,0,3730.013184,12652.153320,21,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,31,0,0,0,73,1019,36,0,1,0,0,
2,96,0,30959,20,10,13,0,0,0,19,0,3730.016846,12652.152344,18,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,0,0,31,0,0,0,75,1016,86,0,1,0,0,
2,96,0,30967,20,10,13,0,0,0,19,0,3730.021240,12652.150391,16,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,0,0,31,0,0,0,87,1021,156,0,1,0,0,
2,96,0,30976,20,10,13,0,0,0,20,0,3730.025391,12652.151367,17,0,0,3,0,1,32768,0,17,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,2,0,33,0,0,0,75,1010,110,0,1,0,0,
2,96,0,30987,20,10,13,0,0,0,22,0,3730.029297,12652.153320,16,0,0,3,0,1,32768,0,19,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,4,0,35,0,0,0,67,1014,114,0,1,0,0,
2,96,0,30995,20,10,13,0,0,0,23,0,3730.033447,12652.156250,20,0,0,3,0,1,32768,0,20,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,3,0,36,0,0,0,50,1021,122,0,1,0,0,
2,96,0,31004,20,10,13,0,0,0,24,0,3730.038574,12652.157227,16,0,0,3,0,1,32768,0,18,0,0,0,0,0,53,0,0,0,0,0,1,0,1,0,0,0,3,0,38,0,0,0,35,1020,82,0,1,0,0,
