 bVersion, uLen, bReserved1, wTimeTick, stGps.stDate.year, stGps.stDate.month, stGps.stDate.day, stGps.stDate.reserved, stGps.stTime.hour, stGps.stTime.min, stGps.stTime.sec, stGps.stTime.reserved, stGps.fLatitude, stGps.fLongitude, stGps.uCourse, Drive Meter, wSystemState, bLDState, bLDWarning, uVDState, uSDATTT, bPDState, Front car distance, uPDTTT, bTSRDetectSpeed, bTSRSignType, bOSWarning, bAAState, uAATime, bEvent, uDSMState, bDSMWarning, bTASWarning, bSubPDState, bParking, bCarSignal, bCamearaState, uCarRPM, bBrakePressure, wYawRate, bAcceleration, bSuddenAcc, uSpeed, sAccBaseX, sAccBaseY, sAccBaseZ, sAccInputX, sAccInputY, sAccInputZ, bSDcard, bCamearaState, ODO meter, SAS,
2,96,0,251,20,10,21,0,0,2,37,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,16,0,0,0,39,1006,73,0,1,0,0,
2,96,0,251,20,10,21,0,0,2,37,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,16,0,0,0,39,1006,73,0,1,0,0,
2,96,0,260,20,10,21,0,0,2,38,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,20,0,0,0,203,1049,82,0,1,0,0,
2,96,0,269,20,10,21,0,0,2,39,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,24,0,0,0,4,1015,58,0,1,0,0,
2,96,0,278,20,10,21,0,0,2,41,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,26,0,0,0,83,995,11,0,1,0,0,
2,96,0,287,20,10,21,0,0,2,41,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,27,0,0,0,20,1044,-100,0,1,0,0,
2,96,0,296,20,10,21,0,0,2,42,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,27,0,0,0,15,999,-19,0,1,0,0,
2,96,0,305,20,10,21,0,0,2,43,0,0.000000,0.000000,0,0,0,2,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,27,0,0,0,13,1025,-30,0,1,0,0,
2,96,0,313,20,10,21,0,0,2,44,0,0.000000,0.000000,0,0,0,3,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,28,0,0,0,51,912,38,0,1,0,0,
2,96,0,324,20,10,21,0,0,2,46,0,0.000000,0.000000,0,0,0,3,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28,0,0,0,-2,916,-112,0,1,0,0,
2,96,0,332,20,10,21,0,0,2,46,0,0.000000,0.000000,0,0,0,3,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28,0,0,0,-13,1038,-43,0,1,0,0,
2,96,0,341,20,10,21,0,0,2,47,0,0.000000,0.000000,0,0,0,3,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,28,0,0,0,316,1115,26,0,1,0,0,
2,96,0,350,20,10,21,0,0,2,48,0,0.000000,0.000000,0,0,0,2,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,29,0,0,0,-1,999,-11,0,1,0,0,
2,96,0,360,20,10,21,0,0,2,49,0,0.000000,0.000000,0,0,0,2,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,29,0,0,0,157,1016,-20,0,1,0,0,
2,96,0,368,20,10,21,0,0,2,50,0,0.000000,0.000000,0,0,0,2,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,29,0,0,0,68,964,-26,0,1,0,0,
2,96,0,378,20,10,21,0,0,2,52,0,0.000000,0.000000,0,0,0,2,0,1,32768,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,255,0,28,0,0,0,86,974,-148,0,1,0,0,
2,96,0,387,20,10,21,0,0,2,52,0,0.000000,0.000000,0,0,0,2,0,1,32768,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,252,0,25,0,0,0,16,1033,-125,0,1,0,0,
2,96,0,395,20,10,21,0,0,2,53,0,0.000000,0.000000,0,0,0,3,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,250,0,23,0,0,0,116,963,-87,0,1,0,0,
2,96,0,415,20,10,21,0,0,2,56,0,0.000000,0.000000,0,0,0,2,0,1,32768,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,248,0,14,0,0,0,84,1017,-62,0,1,0,0,
2,96,0,415,20,10,21,0,0,2,56,0,0.000000,0.000000,0,0,0,2,0,1,32768,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,248,0,14,0,0,0,84,1017,-62,0,1,0,0,
2,96,0,433,20,10,21,0,0,2,58,0,0.000000,0.000000,0,0,0,3,0,1,32768,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,253,0,11,0,0,0,82,1002,-46,0,1,0,0,
2,96,0,440,20,10,21,0,0,2,58,0,0.000000,0.000000,0,0,0,0,0,33,32768,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,253,0,10,0,0,0,59,1009,-157,0,1,0,0,
