stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,1,13,15,46,3726.737793,12623.067383,38,0,2385
20,11,1,13,15,47,3726.739990,12623.071289,45,0,2394
20,11,1,13,15,48,3726.743164,12623.077148,46,0,2403
20,11,1,13,15,49,3726.746582,12623.083984,49,0,2413
20,11,1,13,15,50,3726.750488,12623.090820,53,0,2422
20,11,1,13,15,51,3726.754395,12623.097656,57,0,2431
20,11,1,13,15,52,3726.758545,12623.105469,61,0,2439
20,11,1,13,15,53,3726.763184,12623.114258,65,0,2450
20,11,1,13,15,54,3726.768555,12623.123047,67,0,2458
20,11,1,13,15,55,3726.773926,12623.132813,70,0,2467
20,11,1,13,15,56,3726.779785,12623.142578,72,0,2476
20,11,1,13,15,57,3726.779785,12623.142578,74,0,2485
20,11,1,13,15,58,3726.792725,12623.163086,75,0,2495
20,11,1,13,15,59,3726.799316,12623.173828,74,0,2504
20,11,1,13,16,0,3726.806152,12623.184570,74,0,2513
20,11,1,13,16,1,3726.812500,12623.194336,72,0,2522
