stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,1,5,12,44,3731.913086,12653.430664,21,0,19311
20,11,1,5,12,44,3731.913086,12653.430664,21,0,19311
20,11,1,5,12,45,3731.909180,12653.427734,12,0,19320
20,11,1,5,12,45,3731.909180,12653.427734,12,0,19320
20,11,1,5,12,46,3731.906494,12653.426758,12,0,19330
20,11,1,5,12,46,3731.906494,12653.426758,12,0,19330
20,11,1,5,12,46,3731.906494,12653.426758,12,0,19330
20,11,1,5,12,47,3731.904785,12653.425781,15,0,19338
20,11,1,5,12,48,3731.903564,12653.424805,14,0,19347
20,11,1,5,12,48,3731.903564,12653.424805,14,0,19347
20,11,1,5,12,48,3731.903564,12653.424805,14,0,19347
20,11,1,5,12,49,3731.902100,12653.423828,15,0,19356
20,11,1,5,12,49,3731.902100,12653.423828,15,0,19356
20,11,1,5,12,50,3731.900391,12653.422852,15,0,19364
20,11,1,5,12,51,3731.898682,12653.420898,16,0,19374
20,11,1,5,12,51,3731.898682,12653.420898,16,0,19374
20,11,1,5,12,52,3731.896973,12653.419922,16,0,19383
20,11,1,5,12,52,3731.896973,12653.419922,16,0,19383
20,11,1,5,12,53,3731.895264,12653.418945,18,0,19393
20,11,1,5,12,53,3731.895264,12653.418945,18,0,19393
20,11,1,5,12,54,3731.893555,12653.417969,17,0,19402
20,11,1,5,12,54,3731.893555,12653.417969,17,0,19402
20,11,1,5,12,55,3731.891602,12653.416992,15,0,19411
20,11,1,5,12,55,3731.891602,12653.416992,15,0,19411
20,11,1,5,12,56,3731.889648,12653.415039,14,0,19420
20,11,1,5,12,56,3731.889648,12653.415039,14,0,19420
20,11,1,5,12,57,3731.887939,12653.414063,13,0,19429
20,11,1,5,12,57,3731.887939,12653.414063,13,0,19429
20,11,1,5,12,58,3731.886475,12653.413086,13,0,19437
20,11,1,5,12,58,3731.886475,12653.413086,13,0,19437
20,11,1,5,12,59,3731.885254,12653.412109,16,0,19448
20,11,1,5,12,59,3731.885254,12653.412109,16,0,19448
20,11,1,5,13,0,3731.883789,12653.411133,16,0,19456
20,11,1,5,13,0,3731.883789,12653.411133,16,0,19456
