stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,6,11,37,13,3657.845703,12710.497070,93,0,3455
20,11,6,11,37,14,3657.834717,12710.505859,94,0,3464
20,11,6,11,37,14,3657.834717,12710.505859,94,0,3464
20,11,6,11,37,15,3657.834717,12710.505859,96,0,3473
20,11,6,11,37,17,3657.812012,12710.524414,97,0,3483
20,11,6,11,37,17,3657.800293,12710.533203,97,0,3492
20,11,6,11,37,18,3657.800293,12710.533203,96,0,3501
20,11,6,11,37,21,3657.765381,12710.562500,95,0,3520
20,11,6,11,37,21,3657.765381,12710.562500,95,0,3520
20,11,6,11,37,22,3657.765381,12710.562500,95,0,3529
20,11,6,11,37,23,3657.742188,12710.581055,95,0,3538
20,11,6,11,37,24,3657.730957,12710.589844,96,0,3555
20,11,6,11,37,26,3657.708008,12710.608398,98,0,3565
20,11,6,11,37,26,3657.708008,12710.608398,98,0,3565
20,11,6,11,37,27,3657.684326,12710.627930,100,0,3583
20,11,6,11,37,27,3657.684326,12710.627930,100,0,3583
20,11,6,11,37,28,3657.672363,12710.637695,100,0,3592
20,11,6,11,37,29,3657.672363,12710.637695,100,0,3600
