stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,13,2,59,44,3730.069580,12703.581055,15,0,5012
20,11,13,2,59,45,3730.070068,12703.577148,14,0,5023
20,11,13,2,59,46,3730.070068,12703.577148,18,0,5030
20,11,13,2,59,47,3730.070068,12703.577148,30,0,5040
20,11,13,2,59,48,3730.065186,12703.581055,40,0,5049
20,11,13,2,59,49,3730.065186,12703.581055,46,0,5058
20,11,13,2,59,50,3730.061523,12703.583984,54,0,5068
20,11,13,2,59,51,3730.056396,12703.586914,61,0,5077
20,11,13,2,59,52,3730.049805,12703.590820,66,0,5085
20,11,13,2,59,53,3730.041992,12703.594727,67,0,5094
20,11,13,2,59,54,3730.025146,12703.603516,68,0,5104
20,11,13,2,59,55,3730.016113,12703.608398,70,0,5113
20,11,13,2,59,56,3730.016113,12703.608398,67,0,5122
20,11,13,2,59,57,3729.997803,12703.618164,63,0,5131
20,11,13,2,59,58,3729.989258,12703.622070,56,0,5141
20,11,13,2,59,59,3729.989258,12703.622070,48,0,5149
