stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,6,10,37,45,3708.455811,12705.094727,93,0,56693
20,11,6,10,37,46,3708.443359,12705.099609,94,0,56702
20,11,6,10,37,46,3708.443359,12705.099609,94,0,56702
20,11,6,10,37,46,3708.443359,12705.099609,94,0,56702
20,11,6,10,37,47,3708.430664,12705.104492,95,0,56710
20,11,6,10,37,47,3708.430664,12705.104492,95,0,56710
20,11,6,10,37,48,3708.417480,12705.109375,96,0,56721
20,11,6,10,37,48,3708.417480,12705.109375,96,0,56721
20,11,6,10,37,49,3708.404297,12705.113281,95,0,56729
20,11,6,10,37,49,3708.404297,12705.113281,95,0,56729
20,11,6,10,37,50,3708.391113,12705.118164,95,0,56738
20,11,6,10,37,51,3708.377686,12705.122070,94,0,56748
20,11,6,10,37,51,3708.377686,12705.122070,94,0,56748
20,11,6,10,37,51,3708.377686,12705.122070,94,0,56748
20,11,6,10,37,52,3708.364502,12705.126953,93,0,56757
20,11,6,10,37,52,3708.364502,12705.126953,93,0,56757
20,11,6,10,37,53,3708.351318,12705.130859,93,0,56765
20,11,6,10,37,53,3708.351318,12705.130859,93,0,56765
20,11,6,10,37,54,3708.338379,12705.135742,92,0,56775
20,11,6,10,37,54,3708.338379,12705.135742,92,0,56775
20,11,6,10,37,55,3708.325439,12705.139648,91,0,56783
20,11,6,10,37,55,3708.325439,12705.139648,91,0,56783
20,11,6,10,37,56,3708.312744,12705.144531,90,0,56792
20,11,6,10,37,56,3708.312744,12705.144531,90,0,56792
20,11,6,10,37,57,3708.300049,12705.148438,90,0,56802
20,11,6,10,37,57,3708.300049,12705.148438,90,0,56802
20,11,6,10,37,58,3708.287598,12705.152344,89,0,56812
20,11,6,10,37,58,3708.287598,12705.152344,89,0,56812
20,11,6,10,37,59,3708.275146,12705.156250,89,0,56820
20,11,6,10,38,0,3708.262695,12705.160156,88,0,56829
20,11,6,10,38,0,3708.262695,12705.160156,88,0,56829
20,11,6,10,38,0,3708.262695,12705.160156,88,0,56829
20,11,6,10,38,1,3708.250244,12705.165039,86,0,56838
20,11,6,10,38,1,3708.250244,12705.165039,86,0,56838
