stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,23,7,2,6,3730.764160,12657.099609,29,0,13648
20,10,23,7,2,6,3730.764160,12657.099609,27,0,13649
20,10,23,7,2,6,3730.764160,12657.099609,27,0,13649
20,10,23,7,2,8,3730.764404,12657.094727,25,0,13659
20,10,23,7,2,8,3730.764404,12657.094727,25,0,13659
20,10,23,7,2,8,3730.764893,12657.090820,27,0,13668
20,10,23,7,2,8,3730.764893,12657.090820,27,0,13668
20,10,23,7,2,9,3730.765381,12657.086914,32,0,13677
20,10,23,7,2,9,3730.765381,12657.086914,32,0,13677
20,10,23,7,2,10,3730.765625,12657.082031,35,0,13685
20,10,23,7,2,10,3730.765625,12657.082031,35,0,13685
20,10,23,7,2,11,3730.765869,12657.077148,39,0,13695
20,10,23,7,2,11,3730.765869,12657.077148,39,0,13695
20,10,23,7,2,12,3730.766357,12657.070313,41,0,13704
20,10,23,7,2,12,3730.766357,12657.070313,41,0,13704
20,10,23,7,2,13,3730.766846,12657.064453,43,0,13714
20,10,23,7,2,13,3730.766846,12657.064453,43,0,13714
20,10,23,7,2,14,3730.767578,12657.057617,44,0,13722
20,10,23,7,2,14,3730.767578,12657.057617,44,0,13722
20,10,23,7,2,15,3730.767822,12657.049805,43,0,13731
20,10,23,7,2,16,3730.768066,12657.042969,40,0,13741
20,10,23,7,2,16,3730.768066,12657.042969,40,0,13741
20,10,23,7,2,16,3730.768066,12657.042969,40,0,13741
20,10,23,7,2,17,3730.768311,12657.035156,39,0,13749
20,10,23,7,2,17,3730.768311,12657.035156,39,0,13749
20,10,23,7,2,18,3730.768311,12657.028320,37,0,13758
20,10,23,7,2,18,3730.768311,12657.028320,37,0,13758
20,10,23,7,2,19,3730.768311,12657.021484,36,0,13769
20,10,23,7,2,19,3730.768311,12657.021484,36,0,13769
20,10,23,7,2,20,3730.768311,12657.015625,36,0,13777
20,10,23,7,2,21,3730.768555,12657.008789,35,0,13786
20,10,23,7,2,21,3730.768555,12657.008789,35,0,13786
20,10,23,7,2,21,3730.768555,12657.008789,35,0,13786
