stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,6,12,38,54,3733.482910,12650.546875,56,0,5404
20,10,6,12,38,56,3733.481934,12650.556641,58,0,5415
20,10,6,12,38,57,3733.479980,12650.575195,60,0,5423
20,10,6,12,38,58,3733.479980,12650.575195,61,0,5432
20,10,6,12,38,58,3733.479004,12650.585938,62,0,5441
20,10,6,12,39,0,3733.476807,12650.606445,64,0,5451
20,10,6,12,39,1,3733.476807,12650.606445,64,0,5460
20,10,6,12,39,2,3733.475830,12650.618164,63,0,5468
20,10,6,12,39,2,3733.474854,12650.628906,63,0,5477
20,10,6,12,39,3,3733.473633,12650.640625,63,0,5486
20,10,6,12,39,5,3733.472900,12650.652344,64,0,5496
20,10,6,12,39,6,3733.471924,12650.663086,65,0,5505
20,10,6,12,39,7,3733.469482,12650.686523,68,0,5514
20,10,6,12,39,7,3733.469482,12650.686523,71,0,5523
20,10,6,12,39,9,3733.468262,12650.698242,70,0,5532
20,10,6,12,39,9,3733.467041,12650.710938,66,0,5540
