stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,6,12,39,57,3733.374756,12651.070313,19,0,5976
20,10,6,12,39,58,3733.374756,12651.070313,19,0,5978
20,10,6,12,39,58,3733.374756,12651.070313,19,0,5978
20,10,6,12,39,58,3733.373535,12651.074219,19,0,5981
20,10,6,12,40,1,3733.371582,12651.080078,16,0,6006
20,10,6,12,40,2,3733.370117,12651.083008,14,0,6014
20,10,6,12,40,3,3733.368896,12651.084961,13,0,6023
20,10,6,12,40,3,3733.368164,12651.086914,13,0,6032
20,10,6,12,40,4,3733.367432,12651.088867,15,0,6040
20,10,6,12,40,6,3733.366943,12651.090820,16,0,6051
20,10,6,12,40,7,3733.366211,12651.093750,16,0,6060
20,10,6,12,40,8,3733.365479,12651.095703,16,0,6068
20,10,6,12,40,8,3733.364502,12651.097656,15,0,6077
20,10,6,12,40,9,3733.363281,12651.099609,14,0,6086
20,10,6,12,40,11,3733.362061,12651.100586,10,0,6096
20,10,6,12,40,12,3733.360840,12651.102539,7,0,6105
20,10,6,12,40,12,3733.360107,12651.104492,3,0,6114
