stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,1,13,17,30,3727.190918,12623.503906,71,0,3330
20,11,1,13,17,31,3727.199463,12623.510742,70,0,3340
20,11,1,13,17,31,3727.199463,12623.510742,70,0,3340
20,11,1,13,17,33,3727.215820,12623.524414,47,0,3359
20,11,1,13,17,34,3727.222656,12623.530273,36,0,3367
20,11,1,13,17,34,3727.222656,12623.530273,36,0,3367
20,11,1,13,17,35,3727.228027,12623.535156,28,0,3376
20,11,1,13,17,37,3727.234863,12623.541016,33,0,3395
20,11,1,13,17,37,3727.234863,12623.541016,33,0,3395
20,11,1,13,17,39,3727.241699,12623.546875,43,0,3412
20,11,1,13,17,40,3727.246094,12623.549805,46,0,3422
20,11,1,13,17,41,3727.250977,12623.554688,47,0,3431
20,11,1,13,17,42,3727.256104,12623.558594,49,0,3439
20,11,1,13,17,43,3727.261475,12623.563477,51,0,3450
20,11,1,13,17,44,3727.267090,12623.568359,51,0,3459
20,11,1,13,17,45,3727.272705,12623.573242,52,0,3467
20,11,1,13,17,46,3727.278809,12623.578125,54,0,3476
