stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,4,14,47,48,3734.300049,12650.526367,40,0,36093
20,11,4,14,47,48,3734.300049,12650.526367,40,0,36093
20,11,4,14,47,49,3734.306152,12650.525391,42,0,36104
20,11,4,14,47,49,3734.306152,12650.525391,42,0,36104
20,11,4,14,47,50,3734.315918,12650.520508,44,0,36114
20,11,4,14,47,50,3734.315918,12650.520508,44,0,36114
20,11,4,14,47,51,3734.322021,12650.522461,44,0,36120
20,11,4,14,47,51,3734.322021,12650.522461,44,0,36120
20,11,4,14,47,52,3734.328613,12650.524414,43,0,36131
20,11,4,14,47,52,3734.328613,12650.524414,43,0,36131
20,11,4,14,47,53,3734.334961,12650.527344,43,0,36140
20,11,4,14,47,53,3734.334961,12650.527344,43,0,36140
20,11,4,14,47,54,3734.340576,12650.530273,39,0,36149
20,11,4,14,47,54,3734.340576,12650.530273,39,0,36149
20,11,4,14,47,55,3734.345703,12650.534180,36,0,36157
20,11,4,14,47,55,3734.345703,12650.534180,36,0,36157
20,11,4,14,47,56,3734.351563,12650.537109,31,0,36166
20,11,4,14,47,56,3734.351563,12650.537109,31,0,36166
20,11,4,14,47,57,3734.356934,12650.539063,24,0,36175
20,11,4,14,47,57,3734.356934,12650.539063,24,0,36175
20,11,4,14,47,58,3734.357666,12650.545898,16,0,36185
20,11,4,14,47,58,3734.357666,12650.545898,16,0,36185
20,11,4,14,47,59,3734.360596,12650.547852,15,0,36194
20,11,4,14,47,59,3734.360596,12650.547852,15,0,36194
20,11,4,14,48,0,3734.362549,12650.549805,16,0,36203
20,11,4,14,48,0,3734.362549,12650.549805,16,0,36203
20,11,4,14,48,1,3734.362305,12650.552734,16,0,36211
20,11,4,14,48,1,3734.362305,12650.552734,16,0,36211
20,11,4,14,48,2,3734.361816,12650.554688,16,0,36222
20,11,4,14,48,2,3734.361816,12650.554688,16,0,36222
20,11,4,14,48,3,3734.361084,12650.556641,17,0,36230
20,11,4,14,48,3,3734.361084,12650.556641,17,0,36230
20,11,4,14,48,4,3734.360107,12650.557617,15,0,36239
20,11,4,14,48,4,3734.360107,12650.557617,15,0,36239
