stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,14,8,42,43,3724.435791,12653.164063,102,0,37438
20,10,14,8,42,44,3724.426514,12653.149414,100,0,37448
20,10,14,8,42,45,3724.417725,12653.134766,99,0,37457
20,10,14,8,42,46,3724.409668,12653.120117,98,0,37466
20,10,14,8,42,47,3724.402100,12653.104492,98,0,37476
20,10,14,8,42,48,3724.394775,12653.089844,98,0,37485
20,10,14,8,42,49,3724.387695,12653.074219,97,0,37493
20,10,14,8,42,50,3724.380859,12653.058594,96,0,37502
20,10,14,8,42,51,3724.374023,12653.043945,96,0,37512
20,10,14,8,42,52,3724.367432,12653.028320,96,0,37521
20,10,14,8,42,53,3724.360840,12653.013672,97,0,37530
20,10,14,8,42,54,3724.354004,12652.999023,96,0,37539
20,10,14,8,42,55,3724.347412,12652.983398,97,0,37548
20,10,14,8,42,56,3724.340820,12652.967773,98,0,37556
20,10,14,8,42,57,3724.333984,12652.953125,98,0,37567
20,10,14,8,42,58,3724.327148,12652.937500,98,0,37576
20,10,14,8,42,59,3724.320313,12652.921875,98,0,37584
