stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,1,10,46,48,3733.089111,12644.897461,87,0,5660
20,11,1,10,46,49,3733.100586,12644.901367,89,0,5668
20,11,1,10,46,50,3733.112549,12644.906250,91,0,5677
20,11,1,10,46,51,3733.124512,12644.910156,92,0,5687
20,11,1,10,46,52,3733.136719,12644.916016,93,0,5695
20,11,1,10,46,53,3733.149170,12644.921875,94,0,5704
20,11,1,10,46,54,3733.161621,12644.927734,95,0,5713
20,11,1,10,46,55,3733.174316,12644.933594,96,0,5723
20,11,1,10,46,56,3733.186768,12644.940430,97,0,5732
20,11,1,10,46,57,3733.199219,12644.947266,97,0,5741
20,11,1,10,46,58,3733.211914,12644.955078,98,0,5750
20,11,1,10,46,59,3733.224365,12644.962891,98,0,5759
20,11,1,10,47,0,3733.236816,12644.970703,98,0,5768
20,11,1,10,47,1,3733.249512,12644.979492,99,0,5778
20,11,1,10,47,2,3733.261963,12644.988281,99,0,5786
20,11,1,10,47,3,3733.274414,12644.996094,99,0,5795
20,11,1,10,47,4,3733.287109,12645.004883,99,0,5805
