stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,15,7,30,23,3744.323975,12817.822266,91,0,64793
20,11,15,7,30,23,3744.323975,12817.822266,91,0,64793
20,11,15,7,30,24,3744.311768,12817.817383,89,0,64801
20,11,15,7,30,24,3744.311768,12817.817383,89,0,64801
20,11,15,7,30,24,3744.299561,12817.811523,85,0,64810
20,11,15,7,30,24,3744.299561,12817.811523,85,0,64810
20,11,15,7,30,24,3744.299561,12817.811523,85,0,64810
20,11,15,7,30,26,3744.287354,12817.806641,83,0,64821
20,11,15,7,30,27,3744.276123,12817.799805,83,0,64829
20,11,15,7,30,27,3744.276123,12817.799805,83,0,64829
20,11,15,7,30,28,3744.266113,12817.791992,85,0,64838
20,11,15,7,30,28,3744.266113,12817.791992,85,0,64838
20,11,15,7,30,29,3744.257324,12817.782227,87,0,64847
20,11,15,7,30,29,3744.257324,12817.782227,87,0,64847
20,11,15,7,30,29,3744.250244,12817.770508,87,0,64855
20,11,15,7,30,29,3744.250244,12817.770508,87,0,64855
20,11,15,7,30,31,3744.244385,12817.756836,85,0,64866
20,11,15,7,30,31,3744.244385,12817.756836,85,0,64866
20,11,15,7,30,32,3744.239014,12817.742188,87,0,64875
20,11,15,7,30,32,3744.239014,12817.742188,87,0,64875
20,11,15,7,30,33,3744.233887,12817.728516,90,0,64883
20,11,15,7,30,33,3744.233887,12817.728516,90,0,64883
20,11,15,7,30,34,3744.228271,12817.714844,91,0,64892
20,11,15,7,30,34,3744.228271,12817.714844,91,0,64892
20,11,15,7,30,34,3744.221191,12817.701172,92,0,64901
20,11,15,7,30,34,3744.221191,12817.701172,92,0,64901
20,11,15,7,30,36,3744.212891,12817.688477,96,0,64911
20,11,15,7,30,36,3744.212891,12817.688477,96,0,64911
20,11,15,7,30,37,3744.204102,12817.676758,99,0,64920
20,11,15,7,30,37,3744.204102,12817.676758,99,0,64920
20,11,15,7,30,38,3744.193848,12817.665039,103,0,64929
20,11,15,7,30,38,3744.193848,12817.665039,103,0,64929
20,11,15,7,30,39,3744.182617,12817.654297,107,0,64938
20,11,15,7,30,39,3744.182617,12817.654297,107,0,64938
