stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,24,3,48,4,3743.913818,12855.439453,71,0,7883
20,10,24,3,48,4,3743.913818,12855.439453,71,0,7884
20,10,24,3,48,5,3743.909180,12855.462891,72,0,7893
20,10,24,3,48,6,3743.906738,12855.475586,72,0,7903
20,10,24,3,48,7,3743.904297,12855.487305,70,0,7910
20,10,24,3,48,9,3743.899170,12855.511719,64,0,7929
20,10,24,3,48,9,3743.899170,12855.511719,64,0,7929
20,10,24,3,48,11,3743.894531,12855.534180,61,0,7948
20,10,24,3,48,11,3743.894531,12855.534180,61,0,7948
20,10,24,3,48,13,3743.890137,12855.555664,60,0,7965
20,10,24,3,48,14,3743.890137,12855.555664,59,0,7974
20,10,24,3,48,15,3743.885498,12855.575195,58,0,7984
20,10,24,3,48,16,3743.883301,12855.585938,58,0,7993
20,10,24,3,48,17,3743.880859,12855.594727,58,0,8002
20,10,24,3,48,18,3743.880859,12855.594727,58,0,8010
20,10,24,3,48,19,3743.875977,12855.614258,59,0,8019
20,10,24,3,48,20,3743.873535,12855.624023,60,0,8029
