stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,28,3,47,5,3739.202637,12833.915039,124,0,26739
20,10,28,3,47,5,3739.202637,12833.915039,124,0,26739
20,10,28,3,47,6,3739.210693,12833.935547,124,0,26748
20,10,28,3,47,6,3739.210693,12833.935547,124,0,26748
20,10,28,3,47,7,3739.218750,12833.956055,125,0,26758
20,10,28,3,47,7,3739.218750,12833.956055,125,0,26758
20,10,28,3,47,8,3739.226563,12833.976563,126,0,26767
20,10,28,3,47,9,3739.234131,12833.997070,127,0,26775
20,10,28,3,47,9,3739.234131,12833.997070,127,0,26775
20,10,28,3,47,9,3739.234131,12833.997070,127,0,26775
20,10,28,3,47,10,3739.241455,12834.018555,130,0,26786
20,10,28,3,47,10,3739.241455,12834.018555,130,0,26786
20,10,28,3,47,11,3739.248291,12834.039063,135,0,26794
20,10,28,3,47,12,3739.255615,12834.061523,138,0,26803
20,10,28,3,47,12,3739.255615,12834.061523,138,0,26803
20,10,28,3,47,12,3739.255615,12834.061523,138,0,26803
20,10,28,3,47,13,3739.262695,12834.083984,137,0,26812
20,10,28,3,47,14,3739.270020,12834.107422,136,0,26821
20,10,28,3,47,14,3739.270020,12834.107422,136,0,26821
20,10,28,3,47,14,3739.270020,12834.107422,136,0,26821
20,10,28,3,47,15,3739.277344,12834.130859,134,0,26829
20,10,28,3,47,16,3739.284424,12834.154297,133,0,26840
20,10,28,3,47,16,3739.284424,12834.154297,133,0,26840
20,10,28,3,47,17,3739.291504,12834.177734,132,0,26848
20,10,28,3,47,17,3739.291504,12834.177734,132,0,26848
20,10,28,3,47,18,3739.298096,12834.200195,131,0,26858
20,10,28,3,47,18,3739.298096,12834.200195,131,0,26858
20,10,28,3,47,19,3739.304688,12834.223633,130,0,26867
20,10,28,3,47,19,3739.304688,12834.223633,130,0,26867
20,10,28,3,47,20,3739.310791,12834.246094,129,0,26876
20,10,28,3,47,20,3739.310791,12834.246094,129,0,26876
20,10,28,3,47,21,3739.316895,12834.268555,128,0,26885
20,10,28,3,47,21,3739.316895,12834.268555,128,0,26885
